news_headline,news_article,news_category,full_text,clean_text
Panasonic India announces new line-up of 'truly smart' washing machines,"Panasonic India announced a new range of 'Smart Washing Machines' powered by Panasonic’s IoT platform Miraie, starting at ₹19,690. The wi-fi-enabled top-load washing machines are controllable via Miraie, Alexa and/or Google Assistant. They are equipped with Built-In Heater, Wash Wizard for custom recommendations and Stain Genius which gives consumers pre-treatment recommendations based on stains.",technology,"Panasonic India announces new line-up of 'truly smart' washing machines. Panasonic India announced a new range of 'Smart Washing Machines' powered by Panasonic’s IoT platform Miraie, starting at ₹19,690. The wi-fi-enabled top-load washing machines are controllable via Miraie, Alexa and/or Google Assistant. They are equipped with Built-In Heater, Wash Wizard for custom recommendations and Stain Genius which gives consumers pre-treatment recommendations based on stains.",panasonic india announce new line truly smart washing machine panasonic india announce new range smart washing machine power panasonic iot platform miraie start wi fi enable top load washing machine controllable via miraie alexa andor google assistant equip build heater wash wizard custom recommendation stain genius give consumer pre treatment recommendation base stain
"The hell with it, we'll keep funding Ukraine govt despite Starlink losing money: Musk","A day after saying SpaceX cannot indefinitely fund its Starlink service in Ukraine, billionaire Elon Musk on Saturday said it will continue to do the same. ""The hell with it...even though Starlink is still losing money and other companies are getting billions of taxpayer dollars, we'll just keep funding Ukraine govt for free,"" tweeted Musk. ",technology,"The hell with it, we'll keep funding Ukraine govt despite Starlink losing money: Musk. A day after saying SpaceX cannot indefinitely fund its Starlink service in Ukraine, billionaire Elon Musk on Saturday said it will continue to do the same. ""The hell with it...even though Starlink is still losing money and other companies are getting billions of taxpayer dollars, we'll just keep funding Ukraine govt for free,"" tweeted Musk. ",hell keep fund ukraine govt despite starlink lose money musk day say spacex not indefinitely fund starlink service ukraine billionaire elon musk saturday say continue hell even though starlink still lose money company get billion taxpayer dollar keep fund ukraine govt free tweet musk
'Make-in-India' record-breaker: Piyush Goyal as phone exports hit $1 bn in Sept,"Union Commerce Minister Piyush Goyal lauded the government's production-linked incentive (PLI) scheme after a report claimed that India exported mobile phones worth $1 billion in September, setting a new record. ""'Make-in-India' record-breaker,"" tweeted Goyal. Notably, the previous monthly record for mobile phone exports from India stood at $770 million in December 2021, as per the Economic Times.",technology,"'Make-in-India' record-breaker: Piyush Goyal as phone exports hit $1 bn in Sept. Union Commerce Minister Piyush Goyal lauded the government's production-linked incentive (PLI) scheme after a report claimed that India exported mobile phones worth $1 billion in September, setting a new record. ""'Make-in-India' record-breaker,"" tweeted Goyal. Notably, the previous monthly record for mobile phone exports from India stood at $770 million in December 2021, as per the Economic Times.",make india record breaker piyush goyal phone export hit bn sept union commerce minister piyush goyal laud government production link incentive pli scheme report claim india export mobile phone worth billion september set new record make india record breaker tweet goyal notably previous monthly record mobile phone export india stand million december per economic time
Trying my hardest to de-escalate it and failing: Musk on Ukraine-Russia situation,"World's richest person Elon Musk said he's trying his ""hardest to de-escalate"" Ukraine-Russia situation and ""obviously failing"". His response came to a Twitter user accusing him of continuing support for ""US proxy war"" in Ukraine after Musk said SpaceX will provide Starlink in Ukraine despite losing money. ""Damned if you do, damned if you don't, so...I'm just damned,"" Musk wrote.",technology,"Trying my hardest to de-escalate it and failing: Musk on Ukraine-Russia situation. World's richest person Elon Musk said he's trying his ""hardest to de-escalate"" Ukraine-Russia situation and ""obviously failing"". His response came to a Twitter user accusing him of continuing support for ""US proxy war"" in Ukraine after Musk said SpaceX will provide Starlink in Ukraine despite losing money. ""Damned if you do, damned if you don't, so...I'm just damned,"" Musk wrote.",try hard de escalate fail musk ukraine russia situation world rich person elon musk say try hard de escalate ukraine russia situation obviously fail response come twitter user accuse continue support proxy war ukraine musk say spacex provide starlink ukraine despite lose money damn damn not I damn musk wrote
"Electric car goes from zero to 100 kmph in 1.461 seconds in Germany, sets world record","An electric car in Germany has set the Guinness World Record for the fastest electric vehicle acceleration. The carbon racing car accelerated from zero to 100 kmph in 1.461 seconds, breaking the previous world record of 1.513 seconds. A 2021 formula student car designed by the University of Stuttgart's GreenTeam was used for the attempt to set the world record.",technology,"Electric car goes from zero to 100 kmph in 1.461 seconds in Germany, sets world record. An electric car in Germany has set the Guinness World Record for the fastest electric vehicle acceleration. The carbon racing car accelerated from zero to 100 kmph in 1.461 seconds, breaking the previous world record of 1.513 seconds. A 2021 formula student car designed by the University of Stuttgart's GreenTeam was used for the attempt to set the world record.",electric car go zero kmph second germany set world record electric car germany set guinness world record fast electric vehicle acceleration carbon racing car accelerate zero kmph second break previous world record second formula student car design university stuttgart greenteam use attempt set world record
PM Modi dedicates 75 Digital Banking Units across 75 districts to the nation,"Prime Minister Narendra Modi on Sunday dedicated 75 Digital Banking Units (DBUs) to the nation. The DBUs will be set up in 75 districts and will ""further financial inclusion and enhance banking experience for citizens"", PM said. They will provide a variety of digital banking facilities, including opening of savings account, funds transfer, investment in fixed deposits, and loan applications.",technology,"PM Modi dedicates 75 Digital Banking Units across 75 districts to the nation. Prime Minister Narendra Modi on Sunday dedicated 75 Digital Banking Units (DBUs) to the nation. The DBUs will be set up in 75 districts and will ""further financial inclusion and enhance banking experience for citizens"", PM said. They will provide a variety of digital banking facilities, including opening of savings account, funds transfer, investment in fixed deposits, and loan applications.",pm modi dedicate digital banking unit across district nation prime minister narendra modi sunday dedicate digital banking unit dbus nation dbus set district financial inclusion enhance banking experience citizen pm say provide variety digital banking facility include opening saving account fund transfer investment fix deposit loan application
Got a call saying 'hope you die': CEO after US firm fires engineers for moonlighting,"US-based software company Canopy's CEO Davis Bell said he fired two recently hired engineers for moonlighting. He also revealed that he later got a call from someone telling him they hope Bell dies in a car crash. ""[The engineers] were following a new trend of picking up a second, full-time job while lying about it to both employers,"" Bell said.",technology,"Got a call saying 'hope you die': CEO after US firm fires engineers for moonlighting. US-based software company Canopy's CEO Davis Bell said he fired two recently hired engineers for moonlighting. He also revealed that he later got a call from someone telling him they hope Bell dies in a car crash. ""[The engineers] were following a new trend of picking up a second, full-time job while lying about it to both employers,"" Bell said.",get call say hope die ceo us firm fire engineer moonlight us base software company canopys ceo davis bell say fire two recently hire engineer moonlight also reveal later get call someone tell hope bell die car crash [ engineer ] follow new trend pick second full time job lie employer bell say
What are the rates at which employees are leaving India's top IT companies?,"Infosys has reported an attrition rate of 27.1% for the July to September quarter, the highest among top IT companies in India. While attrition at HCL Tech remained at 23.8%, TCS reported a higher rate of 21.5% and Wipro posted a marginal fall to 23% compared to previous quarter. Attrition rate measures how many employees are voluntarily leaving a company.",technology,"What are the rates at which employees are leaving India's top IT companies?. Infosys has reported an attrition rate of 27.1% for the July to September quarter, the highest among top IT companies in India. While attrition at HCL Tech remained at 23.8%, TCS reported a higher rate of 21.5% and Wipro posted a marginal fall to 23% compared to previous quarter. Attrition rate measures how many employees are voluntarily leaving a company.",rate employee leave indias top company infosy report attrition rate july september quarter high among top company india attrition hcl tech remain tcs report high rate wipro post marginal fall compare previous quarter attrition rate measure many employee voluntarily leave company
Figment of imagination: Capitalmind CEO on viral post on UPI 'killing' toffee business,"A LinkedIn post claiming that UPI is ""killing"" the candy business has gone viral. Drawing a link between candy makers losing revenue and the rise of UPI, GrowthX Founder Abhishek Patil said shopkeepers would ""trade toffees for loose cash"" earlier, but this stopped with UPI. Capitalmind CEO Deepak Shenoy refuted Patil's claim, saying it ""seems like a figment of imagination"".",technology,"Figment of imagination: Capitalmind CEO on viral post on UPI 'killing' toffee business. A LinkedIn post claiming that UPI is ""killing"" the candy business has gone viral. Drawing a link between candy makers losing revenue and the rise of UPI, GrowthX Founder Abhishek Patil said shopkeepers would ""trade toffees for loose cash"" earlier, but this stopped with UPI. Capitalmind CEO Deepak Shenoy refuted Patil's claim, saying it ""seems like a figment of imagination"".",figment imagination capitalmind ceo viral post upi kill toffee business linkedin post claim upi kill candy business go viral draw link candy maker lose revenue rise upi growthx founder abhishek patil say shopkeeper would trade toffee loose cash early stop upi capitalmind ceo deepak shenoy refute patil claim say seem like figment imagination
Apple working on dock to turn iPad into smart display: Report,"Apple is working on a new dock for the iPad which will allow it to function as smart display and a speaker, according to a report. It is looking to make the tablet similar to an Amazon Echo Show-like device that can be put atop a counter, the report added. The docking station will allow hands-free management of home devices.",technology,"Apple working on dock to turn iPad into smart display: Report. Apple is working on a new dock for the iPad which will allow it to function as smart display and a speaker, according to a report. It is looking to make the tablet similar to an Amazon Echo Show-like device that can be put atop a counter, the report added. The docking station will allow hands-free management of home devices.",apple work dock turn ipad smart display report apple work new dock ipad allow function smart display speaker accord report look make tablet similar amazon echo show like device put atop counter report add docking station allow hand free management home device
